Qto_BeamBaseQuantities	IfcBeam	長さ	梁の全体長。切断や他の処理の部分を考慮しない。
Qto_BeamBaseQuantities	IfcBeam	断面面積	梁の断面形状の面積。
Qto_BeamBaseQuantities	IfcBeam	外表面面積	梁の表面の面積。エンドキャップの部分を考慮しない。通常周辺長と長さの積として算出される。
Qto_BeamBaseQuantities	IfcBeam	表面面積	梁の面積。
Qto_BeamBaseQuantities	IfcBeam	体積	梁の体積。切断や他の処理の部分を考慮しない。
Qto_BeamBaseQuantities	IfcBeam	正味体積	梁の体積。切断や他の処理の部分を考慮する。
Qto_BeamBaseQuantities	IfcBeam	重量	梁の重量。付加されたパーツを除く。また、切断などの処理を考慮しない。
Qto_BeamBaseQuantities	IfcBeam	正味重量	梁の重量。付加されたパーツを除く。また、切断などの処理を考慮する。
Qto_BuildingBaseQuantities	IfcBuilding	高さ	建物の高さ。
Qto_BuildingBaseQuantities	IfcBuilding	建築面積	建物が敷地を覆う全体の面積。
Qto_BuildingBaseQuantities	IfcBuilding	延べ床面積	建物の部屋の全面積を集計したもの。建物を構成する建築部材の面積も含む。
Qto_BuildingBaseQuantities	IfcBuilding	正味床面積	建物の部屋の全面積を集計したもの。建物を構成する建築部材の面積も除外したもの。
Qto_BuildingBaseQuantities	IfcBuilding	建物体積	建物により囲まれた空間の全体積を集計したもの。建物を構成する建築部材の体積も含む。
Qto_BuildingBaseQuantities	IfcBuilding	正味建物体積	建物により囲まれた空間の全体積を集計したもの。建物を構成する建築部材の体積を除外したもの。
Qto_BuildingStoreyBaseQuantities	IfcBuildingStorey	階高	建物階の高さ。床の上面から上階の床面の上面までの距離。
Qto_BuildingStoreyBaseQuantities	IfcBuildingStorey	正味階高	建物階の高さ。床の上面から上階の床面の下面までの距離。
Qto_BuildingStoreyBaseQuantities	IfcBuildingStorey	周辺長	建物階の外側の周辺長。内部スラブの開口は考慮しない。
Qto_BuildingStoreyBaseQuantities	IfcBuildingStorey	床面積	建物階の部屋の全面積を集計したもの。建物を構成する建築部材の面積も含む。
Qto_BuildingStoreyBaseQuantities	IfcBuildingStorey	正味床面積	建物階の部屋の全面積を集計したもの。建物を構成する建築部材の面積も除外したもの。
Qto_BuildingStoreyBaseQuantities	IfcBuildingStorey	建物階体積	建物階により囲まれた空間の全体積を集計したもの。建物を構成する建築部材の体積も含む。
Qto_BuildingStoreyBaseQuantities	IfcBuildingStorey	正味建物階体積	建物階により囲まれた空間の全体積を集計したもの。建物を構成する建築部材の体積を除外したもの。
Qto_ChimneyBaseQuantities	IfcChimney	長さ	煙突の長さ。基盤部分から一番上までの距離。切断などの他の処理を考慮しない。
Qto_ColumnBaseQuantities	IfcColumn	長さ	柱の全体長。切断や他の処理の部分を考慮しない。
Qto_ColumnBaseQuantities	IfcColumn	断面面積	柱の断面形状の面積。
Qto_ColumnBaseQuantities	IfcColumn	外表面面積	柱の表面の面積。エンドキャップの部分を考慮しない。通常周辺長と長さの積として算出される。
Qto_ColumnBaseQuantities	IfcColumn	表面面積	柱の面積。
Qto_ColumnBaseQuantities	IfcColumn	体積	柱の体積。切断や他の処理の部分を考慮しない。
Qto_ColumnBaseQuantities	IfcColumn	正味体積	柱の体積。切断や他の処理の部分を考慮する。
Qto_ColumnBaseQuantities	IfcColumn	重量	柱の重量。付加されたパーツを除く。また、切断などの処理を考慮しない。
Qto_ColumnBaseQuantities	IfcColumn	正味重量	柱の重量。付加されたパーツを除く。また、切断などの処理を考慮する。
Qto_CoveringBaseQuantities	IfcCovering	幅	仕上げの厚さ。
Qto_CoveringBaseQuantities	IfcCovering	面積	部屋に面してい部分全体の面積。開口などは考慮しない。
Qto_CoveringBaseQuantities	IfcCovering	正味面積	部屋に面してい部分全体の面積。開口などは考慮する。
Qto_CurtainWallQuantities	IfcCurtainWall	長さ	カーテンウォールの中心線に沿った長さ。
Qto_CurtainWallQuantities	IfcCurtainWall	高さ	カーテンウォールの高さ。高さが一定の場合。
Qto_CurtainWallQuantities	IfcCurtainWall	幅	カーテンウォールの厚さ。厚さが一定の場合。
Qto_CurtainWallQuantities	IfcCurtainWall	側面面積	立面ビューによるカーテンウォールの面積。カーテンウォールに対する変形を考慮しない。
Qto_CurtainWallQuantities	IfcCurtainWall	正味側面面積	立面ビューによるカーテンウォールの面積。カーテンウォールに対する変形を考慮する。
Qto_DoorBaseQuantities	IfcDoor	幅	ドアライニングの外側幅。長方形のドアの場合のみ。
Qto_DoorBaseQuantities	IfcDoor	高さ	ドアライニングの外側幅。長方形のドアの場合のみ。
Qto_DoorBaseQuantities	IfcDoor	周囲長	ドアライニングの外側周囲長。
Qto_DoorBaseQuantities	IfcDoor	面積	ドアライニングの面積。
Qto_OpeningElementBaseQuantities	IfcOpeningElement	開口幅	開口の幅。壁の開口の場合、水平方向の寸法。スラブの開口の場合、一つの水平方向の寸法。形状が長方形の場合のみ与えられる。
Qto_OpeningElementBaseQuantities	IfcOpeningElement	開口高さ	開口の高さ。壁の開口の場合、垂直方向の寸法。スラブの開口の場合、一つの水平方向の寸法。形状が長方形の場合のみ与えられる。
Qto_OpeningElementBaseQuantities	IfcOpeningElement	開口奥行き	開口の奥行き（厚さ）。
Qto_OpeningElementBaseQuantities	IfcOpeningElement	面積	開口の面積。立面図で見た場合の形状。
Qto_OpeningElementBaseQuantities	IfcOpeningElement	体積	開口の体積。壁やスラブなどから、穴が開いた部分の差の体積。
Qto_RailingBaseQuantities	IfcRailing	長さ	手すりの長さ。切断など他の処理を考慮しない。
